Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 46 @ sec=5, msec=367
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 93 @ sec=5, msec=417
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=417
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 94 @ sec=5, msec=467
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=467
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 47 @ sec=5, msec=467
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 95 @ sec=5, msec=517
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=517
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 96 @ sec=5, msec=567
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=567
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 48 @ sec=5, msec=568
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 97 @ sec=5, msec=618
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=618
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 98 @ sec=5, msec=668
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=668
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 49 @ sec=5, msec=668
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 99 @ sec=5, msec=718
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=718
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 100 @ sec=5, msec=768
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=768
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 50 @ sec=5, msec=768
Aug  7 18:46:53 raspberrypi seqgen2: 1HZ W2 release 5 @ sec=5, msec=768
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 101 @ sec=5, msec=818
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=818
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 102 @ sec=5, msec=869
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=869
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 51 @ sec=5, msec=869
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 103 @ sec=5, msec=919
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=919
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer cycle 104 @ sec=5, msec=969
Aug  7 18:46:53 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=969
Aug  7 18:46:53 raspberrypi seqgen2: 10HZ W1 thread release 52 @ sec=5, msec=969
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 105 @ sec=6, msec=19
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=19
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 106 @ sec=6, msec=69
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=69
Aug  7 18:46:54 raspberrypi seqgen2: 10HZ W1 thread release 53 @ sec=6, msec=70
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 107 @ sec=6, msec=120
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=120
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 108 @ sec=6, msec=170
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=170
Aug  7 18:46:54 raspberrypi seqgen2: 10HZ W1 thread release 54 @ sec=6, msec=170
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 109 @ sec=6, msec=220
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=220
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 110 @ sec=6, msec=270
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=270
Aug  7 18:46:54 raspberrypi seqgen2: 10HZ W1 thread release 55 @ sec=6, msec=270
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 111 @ sec=6, msec=320
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=320
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 112 @ sec=6, msec=370
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=370
Aug  7 18:46:54 raspberrypi seqgen2: 10HZ W1 thread release 56 @ sec=6, msec=371
Aug  7 18:46:54 raspberrypi seqgen2: Sequencer cycle 113 @ sec=6, msec=421
