Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 61 @ sec=3, msec=638
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=638
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 62 @ sec=3, msec=688
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=688
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 31 @ sec=3, msec=688
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 63 @ sec=3, msec=738
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=738
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 64 @ sec=3, msec=789
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=789
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 32 @ sec=3, msec=789
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 65 @ sec=3, msec=839
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=839
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 66 @ sec=3, msec=889
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=889
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 33 @ sec=3, msec=889
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 67 @ sec=3, msec=939
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=939
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer cycle 68 @ sec=3, msec=989
Aug  9 10:17:18 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=3, msec=989
Aug  9 10:17:18 raspberrypi seqgen2: 10HZ W1 thread release 34 @ sec=3, msec=989
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 69 @ sec=4, msec=39
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=39
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 70 @ sec=4, msec=90
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=90
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 35 @ sec=4, msec=90
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 71 @ sec=4, msec=140
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=140
